ID_MUNICIP,year,Population,dengue,zika,chikungunya,microcephaly,live_births
260650,2014,18868.013448793543,3,0,0,0,302
260650,2015,18882.78026334107,1366,0,550,0,313
260650,2016,18882.350473434963,107,0,74,0,249
260650,2017,18876.633849135127,36,0,2,0,278
260660,2013,28209.159034838238,9,0,0,0,432
260660,2014,28404.14109221541,2,0,0,0,473
260660,2015,28612.005109510326,105,0,29,1,468
260660,2016,28791.452095353023,6,0,77,0,423
260660,2017,28966.191803412148,0,0,0,0,484
260670,2013,7656.579746326653,0,0,0,0,102
260670,2014,7641.739635325702,0,0,0,0,95
260670,2015,7629.8249642176215,1,0,0,1,89
260670,2016,7611.663971240925,0,0,1,0,82
260670,2017,7592.876172019601,1,0,0,0,96
260680,2013,109562.3352157606,96,0,0,0,1635
260680,2014,111303.59850546357,6,0,0,0,1684
260680,2015,113083.81199658196,1366,0,2,6,1734
260680,2016,114802.48045967115,205,0,192,3,1563
260680,2017,116504.2924927813,6,0,4,0,1544
260690,2013,12021.860175133936,0,0,0,0,145
260690,2014,12013.737047164788,5,0,0,0,165
260690,2015,12009.161020613006,102,0,5,0,171
260690,2016,11994.778341021589,2,0,42,0,132
260690,2017,11978.780647437135,0,0,0,0,150
260700,2013,21587.22974336177,0,0,0,0,352
260700,2014,22287.088309296116,9,0,0,0,334
260700,2015,23019.04369574816,406,0,3,1,282
260700,2016,23744.75465953299,13,0,0,0,336
260700,2017,24482.87271373061,0,0,0,1,331
260710,2013,4543.03413349974,1,0,0,0,50
260710,2014,4528.757276773857,0,0,0,0,58
260710,2015,4517.571834587699,5,0,7,1,56
260710,2016,4495.613524308194,0,0,9,0,65
260710,2017,4474.548144590393,1,0,0,0,54
260720,2013,89829.3479762008,20,0,0,0,1599
260720,2014,92300.07027776813,31,0,0,0,1576
260720,2015,94846.65801071606,321,0,8,8,1697
260720,2016,97379.69094470434,326,0,124,3,1562
260720,2017,99924.60581946015,4,0,3,1,1743
260730,2013,30287.83040115525,0,0,0,0,514
260730,2014,30775.64811128602,0,0,0,0,509
260730,2015,31280.81183831862,77,0,0,0,533
260730,2016,31767.026745483738,35,0,8,1,563
260730,2017,32247.484765478137,0,0,0,0,490
260740,2013,4649.312039072458,0,0,0,0,89
260740,2014,4713.133906352026,13,0,0,0,81
260740,2015,4782.345066304018,47,0,0,0,77
260740,2016,4832.431946086792,33,14,6,0,80
260740,2017,4884.216902616337,1,0,0,0,77
260750,2013,26469.266056332814,0,0,0,1,357
260750,2014,26325.202872460286,0,0,0,0,352
260750,2015,26190.964084843137,338,0,117,1,373
260750,2016,26042.83136519713,1,0,0,0,325
260750,2017,25889.834320082828,15,0,1,0,340
260760,2013,23994.535099005945,10,0,0,0,326
260760,2014,24558.535749801456,7,0,0,0,297
260760,2015,25139.516127764757,246,0,0,1,339
260760,2016,25709.914817561476,9,0,21,0,317
260760,2017,26287.65306026316,3,0,0,0,331
260765,2013,36098.18605691612,0,0,0,0,435
260765,2014,36051.7533332811,3,0,0,0,472
260765,2015,36015.385769387285,520,0,0,1,501
260765,2016,35940.28244791526,666,3,1947,2,437
260765,2017,35856.43042455903,0,0,0,0,409
260770,2013,13888.86438409573,16,0,0,0,194
260770,2014,13795.271617670478,104,0,0,0,201
260770,2015,13707.495873521773,424,0,0,0,193
260770,2016,13603.195247093121,96,0,13,0,187
260770,2017,13499.677861376058,1,0,0,0,167
260775,2013,25154.68465267709,0,0,0,0,360
260775,2014,25437.886376975883,3,0,0,0,363
260775,2015,25731.96382126099,12,0,0,3,441
260775,2016,25986.71026927197,1,0,2,0,366
260775,2017,26239.286054689703,0,0,0,1,324
260780,2013,16196.475795743816,1,0,0,0,249
260780,2014,16234.847182177538,2,0,0,0,258
260780,2015,16277.369115290916,389,0,0,1,289
260780,2016,16297.094473086181,41,0,440,1,209
260780,2017,16312.421939354126,0,0,0,1,242
260790,2013,669477.9322120869,125,0,0,1,9711
260790,2014,672701.8880253761,69,0,0,0,9819
260790,2015,675973.7203919971,558,0,2,52,10051
260790,2016,678681.5922081461,308,8,227,22,8880
260790,2017,681153.1245277128,159,0,27,2,9591
260795,2013,11747.189023322066,0,0,0,0,169
260795,2014,11733.69223640285,3,0,0,0,210
260795,2015,11725.272070915851,11,0,0,0,188
260795,2016,11701.854285011646,59,0,0,0,238
260795,2017,11675.929450495465,3,0,0,0,193
260800,2013,16333.835591783682,44,0,0,0,279
260800,2014,16383.24848429683,6,0,0,0,287
260800,2015,16440.30385775862,954,0,11,0,294
260800,2016,16484.92700542665,698,0,2,0,217
260800,2017,16527.740545706438,127,0,2,1,242
260805,2013,14392.412584490387,17,0,0,0,234
260805,2014,14424.982801319478,1,0,0,0,242
260805,2015,14462.320025704023,18,0,0,0,219
260805,2016,14480.512002608226,3,0,20,0,213
260805,2017,14496.021311207414,1,0,0,0,223
260810,2013,32187.365049931665,3,0,0,0,375
260810,2014,32438.04228384872,1,0,0,0,359
260810,2015,32697.847586345168,239,0,3,1,378
260810,2016,32942.76613747648,38,0,11,0,306
260810,2017,33180.49807126774,8,0,0,0,353
260820,2013,16061.704695458862,0,0,0,0,265
260820,2014,16031.252138795826,0,0,0,0,247
260820,2015,16007.883650807395,5,0,0,0,331
260820,2016,15956.587780030844,1,1,0,0,266
260820,2017,15903.246293682187,0,0,0,0,281
260825,2013,11079.891861251026,2,0,0,0,170
260825,2014,11151.74220415301,0,0,0,0,192
260825,2015,11228.292466892395,2,0,0,0,211
260825,2016,11293.347523824938,10,0,4,0,182
260825,2017,11356.16773802767,0,0,0,0,174
260830,2013,14303.404843831215,0,0,0,0,274
260830,2014,14393.092585567883,0,0,0,0,299
260830,2015,14487.660274278103,7,0,0,2,320
260830,2016,14573.976252062428,1,0,0,0,246
260830,2017,14657.244435643956,0,0,0,0,279
260840,2013,14943.358433634457,71,0,0,0,222
260840,2014,14959.332530602267,0,0,0,0,194
260840,2015,14980.374625990453,32,0,0,0,203
260840,2016,14998.078662856911,38,0,12,0,215
260840,2017,15011.61324217652,2,0,1,0,217
260845,2013,17093.74027979699,4,0,0,0,240
260845,2014,17332.675889370897,2,0,0,0,237
260845,2015,17579.25300541086,251,0,1,1,254
260845,2016,17806.04380313487,373,0,5,0,216
260845,2017,18030.385222028555,0,0,0,1,233
260850,2013,21151.207883552575,0,0,0,0,372
260850,2014,21150.479117667157,6,0,0,0,395
260850,2015,21156.591566511983,137,0,0,1,374
260850,2016,21138.259326405023,1,0,17,2,334
260850,2017,21114.36672991045,0,0,1,0,347
260860,2013,12617.544497539226,0,0,0,0,172
260860,2014,12687.561204061774,123,0,0,0,159
260860,2015,12764.349537237576,8,0,1,2,209
260860,2016,12819.841743678702,2,0,14,2,160
260860,2017,12873.54203182542,2,0,1,0,193
260870,2013,15768.700805075101,0,0,0,0,216
260870,2014,15697.850750991003,1,0,0,0,192
260870,2015,15633.26595466277,2,0,0,0,220
260870,2016,15556.84121655445,0,0,0,0,176
260870,2017,15477.91237493492,1,0,0,0,191
260875,2013,24271.7897076831,0,0,0,0,381
260875,2014,24584.49589340137,0,0,0,0,379
260875,2015,24907.642649932695,7,0,0,0,387
260875,2016,25219.11638193349,149,0,13,0,357
260875,2017,25524.45037252405,0,0,0,0,370
260880,2013,38549.73541236708,1,0,0,0,669
260880,2014,38890.62034682165,0,0,0,0,706
260880,2015,39236.80673231304,1,0,0,6,710
260880,2016,39583.73432051824,13,0,26,2,642
260880,2017,39916.08659480422,624,0,0,0,638
